"","PC1","PC2","group","conditionAndtimepoint","name"
"RM_1h_1",-13.9765962444459,-3.54707301511928,"RM1h","RM1h","RM_1h_1"
"RM_1h_2",-13.0922567484946,-4.13147728314785,"RM1h","RM1h","RM_1h_2"
"RM_1h_3",-12.598871633927,-4.24516370259277,"RM1h","RM1h","RM_1h_3"
"LP_1h_2",-21.7871154571726,9.7070737975541,"LP1h","LP1h","LP_1h_2"
"LP_1h_3",-22.0491901448868,9.9241725005655,"LP1h","LP1h","LP_1h_3"
"RM_2h_1",-10.3285703370001,-7.67117461392727,"RM2h","RM2h","RM_2h_1"
"RM_2h_2",-9.28757699235343,-7.96477649202734,"RM2h","RM2h","RM_2h_2"
"RM_2h_3",-8.72651539453107,-8.02160963567711,"RM2h","RM2h","RM_2h_3"
"LP_2h_1",-15.3254589585819,5.88280428952607,"LP2h","LP2h","LP_2h_1"
"LP_2h_2",-14.0983852637202,5.19248254067125,"LP2h","LP2h","LP_2h_2"
"LP_2h_3",-14.8666510796855,5.69954835021616,"LP2h","LP2h","LP_2h_3"
"RM_24h_1",8.74140802621638,-12.4220591298715,"RM24h","RM24h","RM_24h_1"
"RM_24h_2",10.2391096589688,-13.0721615773657,"RM24h","RM24h","RM_24h_2"
"RM_24h_3",11.3765040179825,-12.7652279593049,"RM24h","RM24h","RM_24h_3"
"LP_24h_1",13.1781261611851,12.3619289219504,"LP24h","LP24h","LP_24h_1"
"LP_24h_2",13.8642972448228,11.7802693043421,"LP24h","LP24h","LP_24h_2"
"LP_24h_3",11.1799212385148,13.4017987064084,"LP24h","LP24h","LP_24h_3"
"RM_49h_1",11.1159694219592,-10.5762204965879,"RM49h","RM49h","RM_49h_1"
"RM_49h_2",11.2323592105347,-9.69119011361215,"RM49h","RM49h","RM_49h_2"
"RM_49h_3",10.801942057229,-9.60672571983387,"RM49h","RM49h","RM_49h_3"
"LP_49h_1",18.253889642793,10.1575322994439,"LP49h","LP49h","LP_49h_1"
"LP_49h_2",17.9798017158874,9.9001651823035,"LP49h","LP49h","LP_49h_2"
"LP_49h_3",18.1738598587053,9.70708384608625,"LP49h","LP49h","LP_49h_3"
